Question,Answer
What is the outlook for Childhood Central Nervous System Germ Cell Tumors ?,Certain factors affect prognosis (chance of recovery). The prognosis (chance of recovery) depends on the following: - The type of germ cell tumor. - The type and level of any tumor markers. - Where the tumor is in the brain or in the spinal cord. - Whether the cancer has spread within the brain and spinal cord or to other parts of the body. - Whether the tumor is newly diagnosed or has recurred (come back) after treatment.
What is the outlook for Primary CNS Lymphoma ?,"Certain factors affect prognosis (chance of recovery) and treatment options. The prognosis (chance of recovery) depends on the following: - The patient's age and general health. - The level of certain substances in the blood and cerebrospinal fluid (CSF). - Where the tumor is in the central nervous system, eye, or both. - Whether the patient has AIDS. Treatment options depend on the following: - The stage of the cancer. - Where the tumor is in the central nervous system. - The patient's age and general health. - Whether the cancer has just been diagnosed or has recurred (come back). Treatment of primary CNS lymphoma works best when the tumor has not spread outside the cerebrum (the largest part of the brain) and the patient is younger than 60 years, able to carry out most daily activities, and does not have AIDS or other diseases that weaken the immune system."
What is (are) Atypical Chronic Myelogenous Leukemia ?,"Key Points
  - Atypical chronic myelogenous leukemia is a disease in which too many granulocytes (immature white blood cells) are made in the bone marrow. - Signs and symptoms of atypical chronic myelogenous leukemia include easy bruising or bleeding and feeling tired and weak. - Certain factors affect prognosis (chance of recovery).
  
  
  Atypical chronic myelogenous leukemia is a disease in which too many granulocytes (immature white blood cells) are made in the bone marrow.
  In atypical chronic myelogenous leukemia (CML), the body tells too many blood stem cells to become a type of white blood cell called granulocytes. Some of these blood stem cells never become mature white blood cells. These immature white blood cells are called blasts. Over time, the granulocytes and blasts crowd out the red blood cells and platelets in the bone marrow. The leukemia cells in atypical CML and CML look alike under a microscope. However, in atypical CML a certain chromosome change, called the ""Philadelphia chromosome"" is not there."
What is (are) Colorectal Cancer ?,"Key Points
  - Colorectal cancer is a disease in which malignant (cancer) cells form in the tissues of the colon or the rectum. - Colorectal cancer is the second leading cause of death from cancer in the United States. - Different factors increase or decrease the risk of getting colorectal cancer.
  
  
  Colorectal cancer is a disease in which malignant (cancer) cells form in the tissues of the colon or the rectum.
  The colon and rectum are parts of the body's digestive system. The digestive system removes and processes nutrients (vitamins, minerals, carbohydrates, fats, proteins, and water) from foods and helps pass waste material out of the body. The digestive system is made up of the mouth, throat, esophagus, stomach, and the small and large intestines. The colon (large bowel) is the first part of the large intestine and is about 5 feet long. Together, the rectum and anal canal make up the last part of the large intestine and are 6-8 inches long. The anal canal ends at the anus (the opening of the large intestine to the outside of the body). Cancer that begins in the colon is called colon cancer, and cancer that begins in the rectum is called rectal cancer. Cancer that begins in either of these organs may also be called colorectal cancer. See the following PDQ summaries for more information about colorectal cancer: - Colorectal Cancer Prevention - Colon Cancer Treatment - Rectal Cancer Treatment - Genetics of Colorectal Cancer
  
  
  Colorectal cancer is the second leading cause of death from cancer in the United States.
  The number of new colorectal cancer cases and the number of deaths from colorectal cancer are decreasing a little bit each year. But in adults younger than 50 years, there has been a small increase in the number of new cases each year since 1998. Colorectal cancer is found more often in men than in women."
What are the symptoms of Parathyroid Cancer ?,"Signs and symptoms of parathyroid cancer include weakness, feeling tired, and a lump in the neck. Most parathyroid cancer signs and symptoms are caused by the hypercalcemia that develops. Signs and symptoms of hypercalcemia include the following: - Weakness. - Feeling very tired. - Nausea and vomiting. - Loss of appetite. - Weight loss for no known reason. - Being much more thirsty than usual. - Urinating much more than usual. - Constipation. - Trouble thinking clearly. Other signs and symptoms of parathyroid cancer include the following: - Pain in the abdomen, side, or back that doesn't go away. - Pain in the bones. - A broken bone. - A lump in the neck. - Change in voice such as hoarseness. - Trouble swallowing. Other conditions may cause the same signs and symptoms as parathyroid cancer. Check with your doctor if you have any of these problems."
How to diagnose Parathyroid Cancer ?,"Tests that examine the neck and blood are used to detect (find) and diagnose parathyroid cancer. Once blood tests are done and hyperparathyroidism is diagnosed, imaging tests may be done to help find which of the parathyroid glands is overactive. Sometimes the parathyroid glands are hard to find and imaging tests are done to find exactly where they are. Parathyroid cancer may be hard to diagnose because the cells of a benign parathyroid adenoma and a malignant parathyroid cancer look alike. The patient's symptoms, blood levels of calcium and parathyroid hormone, and characteristics of the tumor are also used to make a diagnosis. The following tests and procedures may be used: - Physical exam and history : An exam of the body to check general signs of health, including checking for signs of disease, such as lumps or anything else that seems unusual. A history of the patients health habits and past illnesses and treatments will also be taken. - Blood chemistry studies : A procedure in which a blood sample is checked to measure the amounts of certain substances released into the blood by organs and tissues in the body. An unusual (higher or lower than normal) amount of a substance can be a sign of disease. To diagnose parathyroid cancer, the sample of blood is checked for its calcium level. - Parathyroid hormone test: A procedure in which a blood sample is checked to measure the amount of parathyroid hormone released into the blood by the parathyroid glands. A higher than normal amount of parathyroid hormone can be a sign of disease. - Sestamibi scan : A type of radionuclide scan used to find an overactive parathyroid gland. A very small amount of a radioactive substance called technetium 99 is injected into a vein and travels through the bloodstream to the parathyroid gland. The radioactive substance will collect in the overactive gland and show up brightly on a special camera that detects radioactivity. - CT scan (CAT scan): A procedure that makes a series of detailed pictures of areas inside the body, taken from different angles. The pictures are made by a computer linked to an x-ray machine. A dye may be injected into a vein or swallowed to help the organs or tissues show up more clearly. This procedure is also called computed tomography, computerized tomography, or computerized axial tomography. - SPECT scan (single photon emission computed tomography scan): A procedure that uses a special camera linked to a computer to make a 3-dimensional (3-D) picture. A very small amount of a radioactive substance is injected into a vein. As the substance travels through the blood, the camera rotates around the neck and takes pictures. Blood flow and metabolism are higher than normal in areas where cancer cells are growing. These areas will show up brighter in the picture. This procedure may be done just before or after a CT scan. - Ultrasound exam: A procedure in which high-energy sound waves (ultrasound) are bounced off internal tissues or organs and make echoes. The echoes form a picture of body tissues called a sonogram. - Angiogram : A procedure to look at blood vessels and the flow of blood. A contrast dye is injected into the blood vessel. As the contrast dye moves through the blood vessel, x-rays are taken to see if there are any blockages. - Venous sampling : A procedure in which a sample of blood is taken from specific veins and checked to measure the amounts of certain substances released into the blood by nearby organs and tissues. If imaging tests do not show which parathyroid gland is overactive, blood samples may be taken from veins near each parathyroid gland to find which one is making too much PTH."
What are the symptoms of Neuroblastoma ?,"Signs and symptoms of neuroblastoma include bone pain and a lump in the abdomen, neck, or chest.The most common signs and symptoms of neuroblastoma are caused by the tumor pressing on nearby tissues as it grows or by cancer spreading to the bone. These and other signs and symptoms may be caused by neuroblastoma or by other conditions. Check with your childs doctor if your child has any of the following: - Lump in the abdomen, neck, or chest. - Bulging eyes. - Dark circles around the eyes (""black eyes""). - Bone pain. - Swollen stomach and trouble breathing (in infants). - Painless, bluish lumps under the skin (in infants). - Weakness or paralysis (loss of ability to move a body part). Less common signs and symptoms of neuroblastoma include the following: - Fever. - Shortness of breath. - Feeling tired. - Easy bruising or bleeding. - Petechiae (flat, pinpoint spots under the skin caused by bleeding). - High blood pressure. - Severe watery diarrhea. - Horner syndrome (droopy eyelid, smaller pupil, and less sweating on one side of the face). - Jerky muscle movements. - Uncontrolled eye movements."
What is (are) Skin Cancer ?,"Key Points
  - Skin cancer is a disease in which malignant (cancer) cells form in the tissues of the skin. - There are different types of cancer that start in the skin. - Skin color and being exposed to sunlight can increase the risk of nonmelanoma skin cancer and actinic keratosis. - Nonmelanoma skin cancer and actinic keratosis often appear as a change in the skin. - Tests or procedures that examine the skin are used to detect (find) and diagnose nonmelanoma skin cancer and actinic keratosis. - Certain factors affect prognosis (chance of recovery) and treatment options.
  
  
  Skin cancer is a disease in which malignant (cancer) cells form in the tissues of the skin.
  The skin is the bodys largest organ. It protects against heat, sunlight, injury, and infection. Skin also helps control body temperature and stores water, fat, and vitamin D. The skin has several layers, but the two main layers are the epidermis (upper or outer layer) and the dermis (lower or inner layer). Skin cancer begins in the epidermis, which is made up of three kinds of cells: - Squamous cells: Thin, flat cells that form the top layer of the epidermis. - Basal cells: Round cells under the squamous cells. - Melanocytes: Cells that make melanin and are found in the lower part of the epidermis. Melanin is the pigment that gives skin its natural color. When skin is exposed to the sun, melanocytes make more pigment and cause the skin to darken. Skin cancer can occur anywhere on the body, but it is most common in skin that is often exposed to sunlight, such as the face, neck, hands, and arms.
  
  
  There are different types of cancer that start in the skin.
  The most common types are basal cell carcinoma and squamous cell carcinoma, which are nonmelanoma skin cancers. Nonmelanoma skin cancers rarely spread to other parts of the body. Melanoma is a much rarer type of skin cancer. It is more likely to invade nearby tissues and spread to other parts of the body. Actinic keratosis is a skin condition that sometimes becomes squamous cell carcinoma. This summary is about nonmelanoma skin cancer and actinic keratosis. See the following PDQ summaries for information on melanoma and other kinds of cancer that affect the skin: - Melanoma Treatment - Mycosis Fungoides and the Szary Syndrome Treatment - Kaposi Sarcoma Treatment - Merkel Cell Carcinoma Treatment - Unusual Cancers of Childhood Treatment - Genetics of Skin Cancer
  
  
  Nonmelanoma skin cancer and actinic keratosis often appear as a change in the skin.
  Not all changes in the skin are a sign of nonmelanoma skin cancer or actinic keratosis. Check with your doctor if you notice any changes in your skin. Signs of nonmelanoma skin cancer include the following: - A sore that does not heal. - Areas of the skin that are: - Raised, smooth, shiny, and look pearly. - Firm and look like a scar, and may be white, yellow, or waxy. - Raised, and red or reddish-brown. - Scaly, bleeding or crusty."
Who is at risk for Skin Cancer? ?,"Skin color and being exposed to sunlight can increase the risk of nonmelanoma skin cancer and actinic keratosis. Anything that increases your chance of getting a disease is called a risk factor. Having a risk factor does not mean that you will get cancer; not having risk factors doesnt mean that you will not get cancer. Talk with your doctor if you think you may be at risk. Risk factors for basal cell carcinoma and squamous cell carcinoma include the following: - Being exposed to natural sunlight or artificial sunlight (such as from tanning beds) over long periods of time. - Having a fair complexion, which includes the following: - Fair skin that freckles and burns easily, does not tan, or tans poorly. - Blue or green or other light-colored eyes. - Red or blond hair. - Having actinic keratosis. - Past treatment with radiation. - Having a weakened immune system. - Having certain changes in the genes that are linked to skin cancer. - Being exposed to arsenic."
What causes Childhood Extracranial Germ Cell Tumors ?,The cause of most childhood extracranial germ cell tumors is unknown.
What is (are) Sleep Apnea ?,"Sleep apnea is a common disorder that causes your breathing to stop or get very shallow. Breathing pauses can last from a few seconds to minutes. They may occur 30 times or more an hour.  The most common type is obstructive sleep apnea. It causes your airway to collapse or become blocked during sleep. Normal breathing starts again with a snort or choking sound. People with sleep apnea often snore loudly. However, not everyone who snores has sleep apnea.  You are more at risk for sleep apnea if you are overweight, male, or have a family history or small airways. Children with enlarged tonsils may also get it.  Doctors diagnose sleep apnea based on medical and family histories, a physical exam, and sleep study results.  When your sleep is interrupted throughout the night, you can be drowsy during the day. People with sleep apnea are at higher risk for car crashes, work-related accidents, and other medical problems. If you have it, it is important to get treatment. Lifestyle changes, mouthpieces, surgery, and breathing devices can treat sleep apnea in many people.  NIH: National Heart, Lung, and Blood Institute"
What is (are) Migraine ?,"If you suffer from migraine headaches, you're not alone. About 12 percent of the U.S. population gets them. Migraines are recurring attacks of moderate to severe pain. The pain is throbbing or pulsing, and is often on one side of the head. During migraines, people are very sensitive to light and sound. They may also become nauseated and vomit.   Migraine is three times more common in women than in men. Some people can tell when they are about to have a migraine because they see flashing lights or zigzag lines or they temporarily lose their vision.   Many things can trigger a migraine. These include  -  Anxiety  -  Stress  -  Lack of food or sleep   -  Exposure to light  -  Hormonal changes (in women)   Doctors used to believe migraines were linked to the opening and narrowing of blood vessels in the head. Now they believe the cause is related to genes that control the activity of some brain cells. Medicines can help prevent migraine attacks or help relieve symptoms of attacks when they happen. For many people, treatments to relieve stress can also help.  NIH: National Institute of Neurological Disorders and Stroke"
What is (are) Gluten Sensitivity ?,"Gluten is a protein found in wheat, rye, and barley. It is found mainly in foods but may also be in other products like medicines, vitamins, and supplements. People with gluten sensitivity have problems with gluten. It is different from celiac disease, an immune disease in which people can't eat gluten because it will damage their small intestine.  Some of the symptoms of gluten sensitivity are similar to celiac disease. They include tiredness and stomachaches. It can cause other symptoms too, including muscle cramps and leg numbness. But it does not damage the small intestine like celiac disease.  Researchers are still learning more about gluten sensitivity. If your health care provider thinks you have it, he or she may suggest that you stop eating gluten to see if your symptoms go away. However, you should first be tested to rule out celiac disease.  Dept. of Health and Human Services Office on Women's Health"
What is (are) Abortion ?,"An abortion is a procedure to end a pregnancy. It uses medicine or surgery to remove the embryo or fetus and placenta from the uterus. The procedure is done by a licensed health care professional.  The decision to end a pregnancy is very personal. If you are thinking of having an abortion, most healthcare providers advise counseling."
Do you have information about Cocaine,"Summary : Cocaine is a white powder. It can be snorted up the nose or mixed with water and injected with a needle. Cocaine can also be made into small white rocks, called crack. Crack is smoked in a small glass pipe.  Cocaine speeds up your whole body. You may feel full of energy, happy, and excited. But then your mood can change. You can become angry, nervous, and afraid that someone's out to get you. You might do things that make no sense. After the ""high"" of the cocaine wears off, you can ""crash"" and feel tired and sad for days. You also get a strong craving to take the drug again to try to feel better.  No matter how cocaine is taken, it is dangerous. Some of the most common serious problems include heart attack and stroke. You are also at risk for HIV/AIDS and hepatitis, from sharing needles or having unsafe sex. Cocaine is more dangerous when combined with other drugs or alcohol.  It is easy to lose control over cocaine use and become addicted. Then, even if you get treatment, it can be hard to stay off the drug. People who stopped using cocaine can still feel strong cravings for the drug, sometimes even years later.  NIH: National Institute on Drug Abuse"
What is (are) Coronavirus Infections ?,"Coronaviruses are common viruses that most people get some time in their life. They are common throughout the world, and they can infect people and animals. Several different coronaviruses can infect people and make them sick. They usually cause mild to moderate upper-respiratory illness. But, some coronaviruses can cause severe illness.  Coronaviruses probably spread through the air by coughing or sneezing, or by close personal contact. If you get infected, symptoms may include   - Runny nose  - Cough  - Sore throat  - Fever   You may be able to reduce your risk of infection by washing your hands often with soap and water, not touching your eyes, nose, or mouth, and avoiding close contact with people who are sick. There is no vaccine to prevent coronavirus infection. There are no specific treatments. You can relieve symptoms with pain and fever medicines and rest.  Centers for Disease Control and Prevention"
Do you have information about Acupuncture,"Summary : Acupuncture has been practiced in China and other Asian countries for thousands of years. Acupuncture involves stimulating specific points on the body. This is most often done by inserting thin needles through the skin, to cause a change in the physical functions of the body.  Research has shown that acupuncture reduces nausea and vomiting after surgery and chemotherapy. It can also relieve pain. Researchers don't fully understand how acupuncture works. It might aid the activity of your body's pain-killing chemicals. It also might affect how you release chemicals that regulate blood pressure and flow.  NIH: National Center for Complementary and Integrative Health"
What is (are) Menstruation ?,"Menstruation, or period, is normal vaginal bleeding that occurs as part of a woman's monthly cycle. Every month, your body prepares for pregnancy. If no pregnancy occurs, the uterus, or womb, sheds its lining. The menstrual blood is partly blood and partly tissue from inside the uterus. It passes out of the body through the vagina.   Periods usually start between age 11 and 14 and continue until menopause at about age 51. They usually last from three to five days. Besides bleeding from the vagina, you may have   - Abdominal or pelvic cramping  - Lower back pain  - Bloating and sore breasts  - Food cravings  - Mood swings and irritability  - Headache and fatigue   Premenstrual syndrome, or PMS, is a group of symptoms that start before the period. It can include emotional and physical symptoms.  Consult your health care provider if you have big changes in your cycle. They may be signs of other problems that should be treated.  NIH: National Institute of Child Health and Human Development"
What is (are) Latex Allergy ?,"Latex is a milky fluid that comes from the tropical rubber tree. Hundreds of everyday products contain latex. Repeated exposure to a protein in natural latex can make you more likely to develop a latex allergy. If your immune system detects the protein, a reaction can start in minutes. You could get a rash or asthma. In rare cases you could have a severe reaction called anaphylaxis.  Your doctor may use a physical exam and skin and blood tests to diagnose it. There are medicines to treat a reaction, but it is best to try to avoid latex. Common latex products include   - Gloves  - Condoms  - Balloons  - Rubber bands  - Shoe soles  - Pacifiers   You can find latex-free versions of these products."
What is (are) Food Allergy ?,"Food allergy is an abnormal response to a food triggered by your body's immune system.  In adults, the foods that most often trigger allergic reactions include fish, shellfish, peanuts, and tree nuts, such as walnuts. Problem foods for children can include eggs, milk, peanuts, tree nuts, soy, and wheat.  The allergic reaction may be mild. In rare cases it can cause a severe reaction called anaphylaxis. Symptoms of food allergy include   - Itching or swelling in your mouth  - Vomiting, diarrhea, or abdominal cramps and pain  - Hives or eczema  - Tightening of the throat and trouble breathing  - Drop in blood pressure   Your health care provider may use a detailed history, elimination diet, and skin and blood tests to diagnose a food allergy.  When you have food allergies, you must be prepared to treat an accidental exposure. Wear a medical alert bracelet or necklace, and carry an auto-injector device containing epinephrine (adrenaline).  You can only prevent the symptoms of food allergy by avoiding the food. After you and your health care provider have identified the foods to which you are sensitive, you must remove them from your diet.  NIH: National Institute of Allergy and Infectious Diseases"
